title,year,language,episode_season_duration,genre,creators,stars,official_sites,links,description,votes,rating,trailer
Duncanville,2020– ,English,,"Animation,Comedy","Amy Poehler,Mike Scully,Julie Thacker-Scully","Amy Poehler,Ty Burrell,Riki Lindhome",,,An average kid named Duncan dreams of making it big without having to wear a suit and tie to do so.,1300,6.0,https://imdb.com/video/vi2253373209?playlistId=tt9073898&ref_=tt_ov_vi
The Mindy Project,2012–2017,English,30min,Comedy,Mindy Kaling,"Mindy Kaling,Ike Barinholtz,Ed Weeks","Hulu,Official Facebook","https://www.hulu.com/the-mindy-project,https://www.facebook.com/TheMindyProject","A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office.",29000,7.4,https://imdb.com/video/vi3691165977?playlistId=tt2211129&ref_=tt_ov_vi
Into the Dark,2018– ,English,1h 30min,"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller","Aurora Perrineau,Diane Sellers,Dylan Arnold",,Hulu,https://www.hulu.com/into-the-dark,A horror anthology series with each episode inspired by a holiday.,3900,6.4,https://imdb.com/video/vi1670496281?playlistId=tt8427140&ref_=tt_ov_vi
Xena: Warrior Princess,1995–2001,English,45min,"Action,Adventure,Drama,Fantasy","Sam Raimi,John Schulian,R.J. Stewart","Lucy Lawless,Renée O'Connor,Ted Raimi",,,"Xena, a mighty Warrior Princess with a dark past, sets out to redeem herself. She is joined by small town bard, Gabrielle. Together they journey the ancient world and fight for the greater good against ruthless Warlords and Gods.",42000,6.7,https://imdb.com/video/vi3957457177?playlistId=tt0112230&ref_=tt_ov_vi
Re: Zero Kara Hajimeru Isekai Seikatsu,2016– ,Japanese,24min,"Animation,Adventure,Drama,Fantasy,Horror,Mystery,Romance,Thriller","Yûsuke Kobayashi,Rie Takahashi,Sean Chiplock",,"Official site (Japan),Official Twitter (Japan)","http://re-zero-anime.jp/,https://twitter.com/Rezero_official","Shortly after being summoned to a new world, Subaru Natsuki and his new female companion are brutally murdered. But then he awakes to find himself in the same alley, with the same thugs, the same girl, and the day begins to repeat.",13000,8.1,https://imdb.com/video/vi4053123353?playlistId=tt5607616&ref_=tt_ov_vi
My Three Sons,1960–1972,English,30min,"Comedy,Family","Fred MacMurray,Stanley Livingston,Don Grady",,,,"Widower Steve Douglas raises three sons with the help of his father-in-law, and is later aided by the boys' great-uncle. An adopted son, a stepdaughter, wives, and another generation of sons join the loving family in later seasons.",3200,7.1,https://imdb.com/video/vi2453191705?playlistId=tt0053525&ref_=tt_ov_vi
I Am Not Okay with This,2020,English,30min,"Comedy,Sci-Fi","Jonathan Entwistle,Christy Hall","Sophia Lillis,Wyatt Oleff,Sofia Bryant",Official Netflix,https://www.netflix.com/title/80244781,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.",45000,7.5,https://imdb.com/video/vi1296809753?playlistId=tt9446688&ref_=tt_ov_vi
Crazy Ex-Girlfriend,2015–2019,English,42min,"Comedy,Musical","Rachel Bloom,Aline Brosh McKenna","Rachel Bloom,Donna Lynne Champlin,Vincent Rodriguez III",,,"A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.",18000,7.8,https://imdb.com/video/vi783398425?playlistId=tt4094300&ref_=tt_ov_vi
Harlots,2017–2019,English,45min,Drama,"Moira Buffini,Alison Newman","Lesley Manville,Kate Fleetwood,Holli Dempsey","BBC Programmes,Hulu","https://www.bbc.co.uk/programmes/p08kn11z,https://www.hulu.com/harlots",Brothel owner Margaret Wells struggles to raise her daughters in London during the 18th century.,7300,7.7,https://imdb.com/video/vi2397420313?playlistId=tt5761478&ref_=tt_ov_vi
The Deuce,2017–2019,English,1h,Drama,"George Pelecanos,David Simon","James Franco,Maggie Gyllenhaal,Lawrence Gilliard Jr.","Official Facebook,Official Site","https://www.facebook.com/thedeucehbo/,https://www.hbo.com/the-deuce",A look at life in New York City during the 1970s and '80s when porn and prostitution were rampant in Manhattan.,26000,8.1,https://imdb.com/video/vi985251609?playlistId=tt4998350&ref_=tt_ov_vi
Ballers,2015–2019,English,30min,"Comedy,Drama,Sport",Stephen Levinson,"Dwayne Johnson,John David Washington,Donovan W. Carter","Official Facebook,Official site","https://pl-pl.facebook.com/BallersHBO/,https://www.hbo.com/ballers","A series centered around a group of football players and their families, friends and handlers.",39000,7.6,https://imdb.com/video/vi838187289?playlistId=tt2891574&ref_=tt_ov_vi
Miranda,2009–2015,English,30min,Comedy,"Miranda Hart,Patricia Hodge,Tom Ellis",,BBC (United Kingdom),http://www.bbc.co.uk/tv/comingup/miranda/,"Socially inept Miranda always gets into awkward situations; working in her joke shop with best friend Stevie, being hounded by her pushy mother, and around her crush Gary.",14000,8.2,
She-Ra and the Princesses of Power,2018–2020,English,30min,"Animation,Action,Adventure,Comedy,Drama,Family,Fantasy,Sci-Fi",Noelle Stevenson,"Aimee Carrero,Marcus Scribner,Karen Fukuhara",,,"She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde.",11000,7.9,https://imdb.com/video/vi4069179161?playlistId=tt7745956&ref_=tt_ov_vi
Scream Queens,2015–2016,English,45min,"Comedy,Horror,Mystery","Ian Brennan,Brad Falchuk,Ryan Murphy","Emma Roberts,Lea Michele,Abigail Breslin","Official Facebook,Official site","https://www.facebook.com/ScreamQueensFOX/,http://www.fox.com/scream-queens","A semi-anthology series that centers on characters being terrorized by a serial killer in different locations, including a university and a hospital.",36000,7.1,https://imdb.com/video/vi1753069337?playlistId=tt4145384&ref_=tt_ov_vi
Gilligan's Island,1964–1967,English,30min,"Comedy,Family",Sherwood Schwartz,"Bob Denver,Alan Hale Jr.,Jim Backus",,,Seven men and women are stranded on an uncharted island following a torrential storm.,13000,7.3,https://imdb.com/video/vi2073344537?playlistId=tt0057751&ref_=tt_ov_vi
Hudson & Rex,2019– ,English,45min,"Crime,Drama,Mystery","John Reardon,Mayko Nguyen,Kevin Hanchard",,Press Release,https://shaftesbury.ca/de/cache/news_stories/35/REX_SOP_Oct-11-2018.pdf,"Detective Charlie Hudson teams up with what he calls his ""highly trained law enforcement animal"" German Shepherd dog named Rex who he prefers to team up with because he doesn't talk his ear off.",1200,7.0,https://imdb.com/video/vi3868704537?playlistId=tt9111220&ref_=tt_ov_vi
7th Heaven,1996–2007,English,1h,"Comedy,Drama,Family,Romance",Brenda Hampton,"Stephen Collins,Catherine Hicks,Jessica Biel",The CW Network,http://cwtv.com/cw-7heaven.html,"Eric Camden, a minister, and his wife Annie deal with the drama of having seven children, ranging from toddlers to adults with families of their own.",24000,5.2,https://imdb.com/video/vi800439577?playlistId=tt0115083&ref_=tt_ov_vi
Raising Hope,2010–2014,English,22min,"Comedy,Family",Gregory Thomas Garcia,"Lucas Neff,Martha Plimpton,Garret Dillahunt",,,"Jimmy becomes a single parent to an infant after her mother, with whom he had a one-night stand, ends up on Death Row.",35000,8.0,https://imdb.com/video/vi2706357273?playlistId=tt1615919&ref_=tt_ov_vi
Dirilis: Ertugrul,2014–2019,"Turkish,Arabic",2h,"Action,Adventure,Drama,History,War",Mehmet Bozdag,"Engin Altan Düzyatan,Hülya Darcan,Cengiz Coskun","Dirilis Ertugrul,Official Facebook","http://www.dirilisertugrul.org/,https://www.facebook.com/Dirilisdizisi/","The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.",30000,8.0,https://imdb.com/video/vi1417854745?playlistId=tt4320258&ref_=tt_ov_vi
CSI: NY,2004–2013,"English,Russian,American Sign Language",43min,"Action,Crime,Drama,Mystery,Thriller","Ann Donahue,Carol Mendelsohn,Anthony E. Zuiker","Gary Sinise,Carmine Giovinazzo,Hill Harper","CBS - Wiki,CBS (United States)","http://csinywiki.cbs.com/,http://www.cbs.com/primetime/csi_ny/",CSI head Detective Mac Taylor and his team solve crimes using forensic science in New York City.,44000,6.9,https://imdb.com/video/vi2746465561?playlistId=tt0395843&ref_=tt_ov_vi
Dota: Dragon's Blood,2021– ,English,25min,"Animation,Action,Adventure,Fantasy,Sci-Fi,Thriller",Ashley Miller,"Yuri Lowenthal,Lara Pulver,Dee Bradley Baker",Official Netflix,http://www.netflix.com/title/80994336/,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.",11000,8.1,https://imdb.com/video/vi700301337?playlistId=tt14069590&ref_=tt_ov_vi
Absentia,2017–2020,English,1h,"Crime,Drama,Mystery,Thriller","Matthew Cirulnick,Gaia Violo","Stana Katic,Patrick Heusinger,Neil Jackson","Official Facebook,Official Instagram","https://www.facebook.com/AbsentiaSeries/,https://www.instagram.com/absentiaseries/","After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders.",13000,7.3,https://imdb.com/video/vi326417945?playlistId=tt6794990&ref_=tt_ov_vi
The Bill,1984–2010,English,50min,"Crime,Drama",Geoff McQueen,"Graham Cole,Jeff Stewart,Trudie Goodwin","Canley Gazette - fictional online news site (official tie-in site),Facebook","http://www.thisiscanley.com/,http://www.facebook.com/pages/The-Bill/233601895480",Uniform officers and detectives from an inner London police station enforce law and order on a day to day basis.,3100,6.6,https://imdb.com/video/vi4231905561?playlistId=tt0084987&ref_=tt_ov_vi
Spooks,2002–2011,English,1h,"Action,Crime,Drama,Mystery,Thriller",David Wolstencroft,"Peter Firth,Hugh Simon,Nicola Walker",BBC website,http://www.bbc.co.uk/drama/spooks/,"The missions of MI-5, the UK's domestic intelligence organization.",15000,8.2,https://imdb.com/video/vi2494872857?playlistId=tt0160904&ref_=tt_ov_vi
Disenchantment,2018– ,English,30min,"Animation,Action,Adventure,Comedy,Fantasy","Matt Groening,Josh Weinstein","Abbi Jacobson,Eric André,Nat Faxon",Official Twitter,https://twitter.com/disenchantment,"Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.",50000,7.2,https://imdb.com/video/vi4146970905?playlistId=tt5363918&ref_=tt_ov_vi
The Walking Dead: World Beyond,2020– ,English,1h,"Drama,Horror,Sci-Fi","Scott M. Gimple,Matthew Negrete","Julia Ormond,Nicolas Cantu,Alexa Mansour",Official Instagram,https://www.instagram.com/twdworldbeyond/,The series will focus on the first generation to grow up during the zombie apocalypse.,9600,4.2,https://imdb.com/video/vi2289745433?playlistId=tt10148174&ref_=tt_ov_vi
Starstruck,2021– ,English,30min,Comedy,"Rose Matafeo,Nikesh Patel,Emma Sidi",,BBC Three (United Kingdom),https://www.bbc.co.uk/programmes/p09djx02,A millennial in London juggling two dead-end jobs and navigating the awkward morning-after-the-night-before when she discovers the complications of accidentally sleeping with a film star.,1100,7.6,https://imdb.com/video/vi1220591641?playlistId=tt10801368&ref_=tt_ov_vi
Holby City,1999–2022,English,1h,Drama,"Hugh Quarshie,Rosie Marcel,Jaye Jacobs",,BBC (United Kingdom),http://www.bbc.co.uk/drama/holbycity,"The everyday lives, professional and personal, of the doctors, nurses and patients who find themselves, for various reasons, in the wards of the frenetic cardiac unit of Holby City General Hospital.",1800,5.8,https://imdb.com/video/vi1803926809?playlistId=tt0184122&ref_=tt_ov_vi
Marco Polo,2014–2016,"English,Cantonese,Mandarin,Mongolian,Persian,Italian,Uighur,Arabic",1h,"Adventure,Drama,History",John Fusco,"Lorenzo Richelmy,Benedict Wong,Joan Chen",Official Facebook,https://www.facebook.com/MarcoPoloMP,"In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.",66000,8.0,https://imdb.com/video/vi327136281?playlistId=tt2189461&ref_=tt_ov_vi
Survivor,2000– ,English,1h,"Adventure,Game-Show,Reality-TV",Charlie Parsons,"Jeff Probst,Lillian Morris,Jon Dalton",Official Facebook,https://www.facebook.com/Survivor,A reality show where a group of contestants are stranded in a remote location with little more than the clothes on their back. The lone survivor of this contest takes home a million dollars.,22000,7.2,https://imdb.com/video/vi295812377?playlistId=tt0239195&ref_=tt_ov_vi
Versailles,2015–2018,"Latin,Spanish,English",52min,"Biography,Drama,History,Romance,War","Simon Mirren,David Wolstencroft","George Blagden,Alexander Vlahos,Tygh Runyan","Official site (Canada),Official site (United States)","http://www.versaillestheseries.com/,http://www.ovationtv.com/versailles/","In 1667, 28-year-old all-powerful king of France, Louis XIV, decides to build the greatest palace in the world - Versailles. But drained budget, affairs and political intrigues complicate things.",15000,7.9,https://imdb.com/video/vi290109465?playlistId=tt3830558&ref_=tt_ov_vi
Hinterland,2013–2016,"Welsh,English",1h 30min,"Crime,Drama,Mystery","Richard Harrington,Mali Harries,Alex Harries",,"Hinterland - S4C Official Site,Official Netflix","http://www.s4c.co.uk/ygwyll/e_index.shtml,https://www.netflix.com/tr-en/title/70305043","A noir crime drama set in Aberystwyth, Wales, where troubled DCI Tom Mathias solves murders while searching for redemption.",12000,7.6,https://imdb.com/video/vi1144368153?playlistId=tt2575968&ref_=tt_ov_vi
The Missing,2014–2016,"English,French",1h,"Crime,Drama,Mystery","Tchéky Karyo,Anastasia Hille,David Morrissey",,Official site,https://www.starz.com/originals/themissing/featured,Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.,23000,8.2,https://imdb.com/video/vi1679930905?playlistId=tt3877200&ref_=tt_ov_vi
Drake & Josh,2004–2007,English,23min,"Comedy,Family",Dan Schneider,"Drake Bell,Josh Peck,Miranda Cosgrove","Nickelodeon,Officia Site IT","http://www.nick.com/all_nick/tv_supersites/display_show.jhtml?show_id=dra,http://www.nicktv.it/programmi/drake-e-josh/va3zvq",Two teens become step brothers. One is an awkward geek and the other is a popular musician.,36000,7.7,https://imdb.com/video/vi950516249?playlistId=tt0363328&ref_=tt_ov_vi
Lego Masters,2020– ,English,1h,Reality-TV,"Will Arnett,Jamie Berard,Amy Corbett",,"Official Facebook,Official site","https://www.facebook.com/LEGOMastersFOX,https://www.fox.com/lego-masters/","LEGO enthusiasts participate in a series of competitions that begin with a single LEGO brick and concludes with inspiring, complex constructions.",1300,7.3,https://imdb.com/video/vi1428471833?playlistId=tt9615014&ref_=tt_ov_vi
Top Boy,2011– ,English,1h,"Crime,Drama,Thriller",Ronan Bennett,"Ashley Walters,Kano,Shone Romulus",,,Two London drug dealers ply their lucrative trade at a public housing estate in East London.,14000,8.4,https://imdb.com/video/vi837074201?playlistId=tt1830379&ref_=tt_ov_vi
Pokémon,1997– ,Japanese,24min,"Animation,Action,Adventure,Comedy,Family,Fantasy","Junichi Masuda,Ken Sugimori,Satoshi Tajiri","Veronica Taylor,Rachael Lillis,Eric Stuart","Official Facebook,Official Instagram","https://www.facebook.com/Pokemon,https://www.instagram.com/pokemon/","Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures.",39000,7.5,https://imdb.com/video/vi937672217?playlistId=tt0168366&ref_=tt_ov_vi
